,colsample_bytree,label_0_acc,label_1_acc,label_2_acc,label_3_acc,label_4_acc,label_5_acc,lambda_l1,lambda_l2,learning_rate,loss,max_bin,max_depth,min_child_samples,min_child_weight,n_estimators,num_class,num_leaves,subsample,subsample_freq,test_acc
199,0.25,0.962128966223132,0.8120141342756184,0.6382442646863811,0.5075807514831905,0.3841001011122346,0.4132501948558067,0.0001,0.0001,0.02,1.0503634549464123,250,6,40,0,870,6,19,0.8,2,0.5390694076038903
200,0.25,0.9539406345957011,0.8143698468786807,0.6382442646863811,0.502856515051637,0.38966127401415573,0.4107560405300078,0.001,0.0001,0.03,1.0508250460797643,550,7,20,0,495,6,17,0.7,1,0.5387102122015915
201,0.3,0.9723643807574207,0.8044758539458187,0.6456703354992707,0.498461876510657,0.39459049544994945,0.4091971940763835,0.01,0.01,0.02,1.0515657209766165,450,4,30,0,1173,6,6,0.8,1,0.539290450928382
202,0.2,0.962128966223132,0.8091872791519434,0.6373160058347699,0.503515710832784,0.3867542972699697,0.4113795791114575,0.0001,0.001,0.03,1.0506380960103476,250,7,40,0,603,6,17,0.9,1,0.5377707780725022
203,0.25,0.9641760491299898,0.8070671378091873,0.6447420766476595,0.5080202153372885,0.3806875631951466,0.413717848791894,0.01,0.001,0.015,1.0508438284990584,550,7,50,0,990,6,11,0.7,1,0.5393457117595049
204,0.25,0.9662231320368475,0.7964664310954064,0.652300755867922,0.503955174686882,0.3871334681496461,0.4045206547155105,0.001,0.001,0.03,1.0508300222796838,250,4,30,0,494,6,13,0.9,1,0.5384891688771
205,0.2,0.9611054247697032,0.8014134275618374,0.642620342129691,0.50439463854098,0.38827098078867545,0.4093530787217459,0.001,0.01,0.015,1.0508562366046375,450,5,60,0,1027,6,15,0.9,1,0.5381299734748011
206,0.3,0.9651995905834186,0.7962308598351001,0.6577377005702162,0.4976928147659855,0.38372093023255816,0.401091192517537,0.01,0.0001,0.03,1.054212714791652,350,4,30,0,498,6,4,0.8,1,0.5366379310344828
207,0.25,0.962128966223132,0.8073027090694935,0.6382442646863811,0.509448472863107,0.37967644084934277,0.414809041309431,0.01,0.0001,0.015,1.0504699634288328,350,7,40,0,980,6,19,0.8,3,0.5382957559681698
208,0.2,0.962128966223132,0.8077738515901061,0.6361225301684127,0.5056031641397495,0.3889029322548028,0.41044427123928295,0.0001,0.001,0.015,1.0505958516941003,450,7,50,0,1064,6,17,0.9,1,0.5381852343059239
